1803-Feb-21	P	17:11:43	07	-	17:51(s)	0(s)	256	-	17:51(s)	0(s)	0.443(s)	0.333(s)	-
1805-Jun-26	P	18:47:34	11	-	19:31:10	03	299	-	19:54(s)	0(s)	0.548	0.453	-
1806-Jun-16	T	09:37:41	52	10:54:41	10:56:05	64	134	10:57:29	12:18:46	70	1.059	1.000	2m48s
1809-Apr-14	P	15:56:39	32	-	16:43:45	23	261	-	17:27:33	15	0.174	0.083	-
1811-Sep-17	P	12:15:42	50	-	13:56:47	43	218	-	15:29:09	30	0.9	0.844	-
1815-Jul-06	P	19:06:36	07	-	19:53(s)	0(s)	302	-	19:53(s)	0(s)	0.71(s)	0.645(s)	-
1819-Apr-24	P	05:23(r)	0(r)	-	05:48:52	04	077	-	06:35:54	13	0.395	0.277	-
1821-Aug-27	P	07:34:26	21	-	08:47:18	34	110	-	10:07:10	47	0.64	0.545	-
1822-Feb-21	P	15:08:58	25	-	16:09:42	17	237	-	17:06:16	08	0.447	0.332	-
1824-Jun-26	P	19:11:39	07	-	19:42:52	02	301	-	19:54(s)	0(s)	0.22	0.121	-
1825-Dec-09	P	15:32:23	09	-	16:37:01	00	238	-	16:37(s)	0(s)	0.629	0.539	-
1831-Feb-12	P	11:19:36	31	-	12:51:19	33	186	-	14:19:49	28	0.874	0.834	-
1832-Jul-27	P	07:02:43	20	-	07:46:51	28	090	-	08:33:52	37	0.331	0.221	-
1834-Nov-30	P	12:51:23	25	-	14:13:06	19	212	-	15:29:37	10	0.86	0.828	-
1836-May-15	P	07:11:33	24	-	08:18:13	36	097	-	09:32:11	49	0.573	0.466	-
1838-Sep-18	A	15:03:12	34	16:23:48	16:25:39	20	253	16:27:31	17:39:47	07	0.927	0.86	3m42s
1844-Dec-09	P	15:15:17	11	-	16:00:43	05	232	-	16:37(s)	0(s)	0.259	0.153	-
1845-May-06	P	05:06(r)	0(r)	-	05:06(r)	0(r)	067	-	05:07:06	00	0.014(r)	0.002(r)	-
1846-Apr-25	P	10:49:49	55	-	12:04:19	60	176	-	13:20:00	57	0.482	0.373	-
1848-Mar-05	P	07:28:12	07	-	07:43:44	10	108	-	07:59:23	12	0.032	0.007	-
1851-Jul-28	P	07:26:17	25	-	08:16:06	34	095	-	09:09:53	43	0.371	0.26	-
1854-May-26	P	16:03:54	38	-	17:22:37	23	278	-	18:32:05	11	0.908	0.86	-
1857-Mar-25	P	18:25:51	01	-	18:30(s)	0(s)	273	-	18:30(s)	0(s)	0.07(s)	0.022(s)	-
1858-Mar-15	P	06:31(r)	0(r)	-	06:30:57	00	093	-	07:24:17	09	0.448	0.333	-
1859-Jul-29	P	17:21:05	24	-	17:51:00	18	279	-	18:19:56	13	0.17	0.083	-
1860-Jul-18	P	07:02:57	22	-	08:01:25	32	090	-	09:05:25	44	0.568	0.473	-
1861-Dec-31	P	07:50(r)	0(r)	-	07:50(r)	0(r)	122	-	08:44:43	08	0.41(r)	0.295(r)	-
1865-Oct-19	P	08:46:24	21	-	10:16:35	32	149	-	11:56:31	37	0.735	0.647	-
1869-Aug-07	P	17:04:06	25	-	18:01:56	14	279	-	18:55:34	05	0.886	0.867	-
1875-Sep-29	P	06:12(r)	0(r)	-	06:12(r)	0(r)	093	-	07:13:56	11	0.887(r)	0.839(r)	-
1876-Mar-25	P	15:45:44	29	-	16:41:16	20	254	-	17:33:09	10	0.349	0.234	-
1878-Jul-29	P	16:37:50	31	-	17:34:42	21	276	-	18:27:38	11	0.671	0.595	-
1880-Dec-31	P	07:50(r)	0(r)	-	07:53:42	00	123	-	08:47:41	08	0.416	0.304	-
1881-May-27	P	19:36:46	00	-	19:39(s)	0(s)	300	-	19:39(s)	0(s)	0.036(s)	0.008(s)	-
1885-Mar-16	P	12:01:47	45	-	13:26:52	43	202	-	14:48:27	35	0.623	0.529	-
1886-Mar-05	P	17:57:28	01	-	18:07(s)	0(s)	262	-	18:07(s)	0(s)	0.107(s)	0.041(s)	-
1889-Jan-01	P	16:28:21	03	-	16:49(s)	0(s)	238	-	16:49(s)	0(s)	0.297(s)	0.186(s)	-
1892-Oct-20	P	11:56:03	36	-	13:27:48	33	206	-	14:55:49	23	0.62	0.514	-
1897-Jul-29	P	08:44:40	39	-	09:49:40	50	115	-	10:58:51	60	0.385	0.268	-
1900-May-28	P	07:50:15	32	-	08:59:51	45	103	-	10:17:09	58	0.832	0.792	-
1905-Aug-30	P	05:39(r)	0(r)	-	06:33:34	09	086	-	07:32:51	20	0.753	0.696	-
1908-Jun-28	P	09:42:36	52	-	11:08:37	66	138	-	12:40:42	70	0.598	0.496	-
1909-Jun-17	P	18:57:52	09	-	19:46:10	01	302	-	19:52(s)	0(s)	0.529	0.423	-
1912-Apr-17	P	05:34(r)	0(r)	-	05:57:37	04	079	-	06:37:58	11	0.261	0.153	-
1914-Aug-21	P	05:30(r)	0(r)	-	05:48:32	03	076	-	06:17:43	08	0.134	0.058	-
1916-Feb-03	P	10:18:08	23	-	11:17:06	28	160	-	12:16:45	30	0.306	0.194	-
1918-Jun-08	P	17:27:28	24	-	18:23:48	14	289	-	19:16:04	05	0.685	0.609	-
1919-Nov-22	P	07:40:33	03	-	08:53:19	14	135	-	10:16:07	23	0.476	0.354	-
1920-Nov-10	P	08:54:34	16	-	09:59:42	24	149	-	11:09:56	29	0.316	0.199	-
1923-Sep-10	P	15:34:42	32	-	16:31:04	22	256	-	17:23:22	12	0.448	0.338	-
1925-Jan-24	T	07:58:53	03	09:06:30	09:07:24	13	132	09:08:19	10:22:50	22	1.026	1.000	1m49s
1930-Apr-28	P	14:02:09	53	-	15:20:05	41	249	-	16:31:47	28	0.615	0.522	-
1932-Aug-31	P	14:13:58	47	-	15:26:07	36	245	-	16:32:50	24	0.916	0.9	-
1935-Feb-03	P	10:21:16	24	-	11:26:03	29	163	-	12:31:46	30	0.481	0.374	-
1939-Apr-19	P	10:41:14	52	-	11:42:44	57	165	-	12:46:24	57	0.254	0.147	-
1940-Apr-07	P	15:44:53	32	-	17:01:00	19	262	-	18:08:49	06	0.628	0.525	-
1945-Jul-09	P	06:07:51	13	-	07:04:28	23	080	-	08:06:34	34	0.665	0.584	-
1946-Nov-23	P	10:43:37	24	-	12:14:17	27	183	-	13:46:35	22	0.541	0.425	-
1951-Mar-07	P	17:16:12	09	-	17:42:48	04	259	-	18:08(s)	0(s)	0.092	0.033	-
1951-Sep-01	P	05:42(r)	0(r)	-	06:02:09	03	081	-	07:07:41	15	0.799	0.734	-
1954-Jun-30	P	05:08:24	04	-	06:02:26	13	070	-	07:01:02	23	0.834	0.797	-
1959-Oct-02	P	06:15(r)	0(r)	-	06:15(r)	0(r)	094	-	06:49:05	06	0.563(r)	0.464(r)	-
1960-Sep-20	P	18:04:42	01	-	18:13(s)	0(s)	271	-	18:13(s)	0(s)	0.104(s)	0.039(s)	-
1963-Jul-20	P	15:33:03	44	-	16:43:08	32	270	-	17:46:26	20	0.88	0.852	-
1967-May-09	P	08:10:16	33	-	08:51:23	41	105	-	09:34:59	48	0.154	0.07	-
1970-Mar-07	P	12:22:00	42	-	13:37:09	39	203	-	14:49:20	32	0.834	0.799	-
1972-Jul-10	P	14:22:59	57	-	15:34:21	45	258	-	16:39:15	33	0.771	0.719	-
1973-Dec-24	P	08:09:23	03	-	09:03:10	10	136	-	10:02:25	17	0.186	0.091	-
1974-Dec-13	P	09:20:00	13	-	10:47:42	21	160	-	12:21:52	24	0.662	0.566	-
1977-Oct-12	P	15:39:32	19	-	16:10:38	14	245	-	16:40:32	09	0.1	0.037	-
1979-Feb-26	P	10:52:02	34	-	12:08:54	38	174	-	13:26:06	37	0.768	0.717	-
1984-May-30	P	10:20:39	59	-	11:47:21	68	164	-	13:18:03	65	0.832	0.786	-
1986-Oct-03	P	12:51:41	42	-	14:06:54	36	219	-	15:18:16	26	0.663	0.58	-
1991-Jul-11	P	13:56:55	61	-	14:26:07	57	241	-	14:54:35	52	0.088	0.032	-
1994-May-10	A	10:41:18	58	12:21:49	12:24:55	65	187	12:28:01	14:09:10	55	0.943	0.889	6m11s
1998-Feb-26	P	12:33:47	39	-	13:11:52	38	194	-	13:49:09	35	0.119	0.049	-
1999-Aug-11	P	05:20(r)	0(r)	-	05:20(r)	0(r)	069	-	05:30:09	01	0.181(r)	0.09(r)	-
2000-Dec-25	P	10:59:13	21	-	12:35:45	24	185	-	14:11:10	19	0.584	0.472	-
2001-Dec-14	P	16:11:32	04	-	16:38(s)	0(s)	238	-	16:38(s)	0(s)	0.201(s)	0.104(s)	-
2002-Jun-10	P	19:30:39	03	-	19:50(s)	0(s)	303	-	19:50(s)	0(s)	0.166(s)	0.079(s)	-
2012-May-20	P	19:19:52	02	-	19:33(s)	0(s)	298	-	19:33(s)	0(s)	0.205(s)	0.106(s)	-
2013-Nov-03	P	06:55(r)	0(r)	-	06:55(r)	0(r)	111	-	07:10:37	02	0.224(r)	0.122(r)	-
2014-Oct-23	P	16:41:08	06	-	17:17(s)	0(s)	254	-	17:17(s)	0(s)	0.399(s)	0.279(s)	-
2017-Aug-21	P	12:11:54	59	-	13:33:55	55	213	-	14:51:22	45	0.774	0.721	-
2021-Jun-10	P	04:39(r)	0(r)	-	04:39(r)	0(r)	057	-	05:36:27	09	0.848(r)	0.785(r)	-
2023-Oct-14	P	10:56:36	37	-	12:11:16	39	183	-	13:27:28	35	0.392	0.272	-
2024-Apr-08	T	13:04:51	53	14:18:15	14:20:08	46	226	14:22:01	15:32:05	35	1.052	1.000	3m45s
2025-Mar-29	P	06:05(r)	0(r)	-	06:05(r)	0(r)	085	-	06:09:03	00	0.064(r)	0.019(r)	-
2026-Aug-12	P	11:58:49	62	-	12:42:12	62	191	-	13:24:32	59	0.158	0.075	-
2028-Jan-26	P	09:20:51	15	-	09:53:06	19	141	-	10:26:22	22	0.049	0.013	-
2029-Jan-14	P	11:14:32	24	-	12:42:48	26	185	-	14:07:50	22	0.604	0.501	-
2031-Nov-14	P	16:46:17	00	-	16:49(s)	0(s)	245	-	16:49(s)	0(s)	0.024(s)	0.004(s)	-
2033-Mar-30	P	12:59:54	50	-	13:39:32	47	210	-	14:18:31	43	0.139	0.061	-
2038-Jan-05	P	07:49(r)	0(r)	-	07:49(r)	0(r)	121	-	08:24:08	05	0.34(r)	0.223(r)	-
2038-Jul-02	P	07:01:36	23	-	07:21:51	27	082	-	07:42:32	30	0.046	0.012	-
2039-Jun-21	P	11:18:33	67	-	12:07:30	70	173	-	12:57:19	69	0.103	0.038	-
2040-Nov-04	P	12:55:56	30	-	14:15:44	24	216	-	15:30:52	14	0.655	0.567	-
2045-Aug-12	P	11:06:59	58	-	12:16:03	62	178	-	13:24:10	59	0.615	0.534	-
2048-Jun-11	P	05:22:49	07	-	06:26:50	18	074	-	07:38:18	30	0.858	0.797	-
2050-Nov-14	P	07:09(r)	0(r)	-	07:09(r)	0(r)	115	-	07:44:46	05	0.165(r)	0.077(r)	-
2052-Mar-30	P	13:16:36	49	-	14:31:14	42	226	-	15:41:09	31	0.719	0.655	-
2055-Jan-27	P	12:00:18	28	-	13:24:04	27	195	-	14:43:29	21	0.402	0.28	-
2057-Jul-01	P	18:59:33	09	-	19:54(s)	0(s)	303	-	19:54(s)	0(s)	0.886(s)	0.83(s)	-
2066-Jun-22	P	14:04:27	61	-	15:27:10	47	259	-	16:39:46	33	0.531	0.418	-
2067-Dec-06	P	07:35(r)	0(r)	-	07:40:32	01	122	-	08:21:46	07	0.187	0.094	-
2071-Sep-23	P	10:41:26	43	-	11:41:47	46	171	-	12:43:14	46	0.326	0.214	-
2077-Nov-15	P	09:43:33	21	-	11:03:08	27	165	-	12:29:15	28	0.468	0.349	-
2078-May-11	P	12:21:55	65	-	13:37:12	59	223	-	14:50:24	48	0.789	0.748	-
2079-May-01	P	05:12(r)	0(r)	-	05:12(r)	0(r)	069	-	06:00:52	08	0.951(r)	0.947(r)	-
2082-Feb-27	P	09:23:25	24	-	09:44:41	27	133	-	10:06:08	30	0.024	0.004	-
2083-Feb-16	P	13:05:37	34	-	14:00:49	31	206	-	14:53:58	26	0.222	0.12	-
2090-Sep-23	P	10:20:25	40	-	11:22:39	45	164	-	12:26:01	46	0.423	0.313	-
2092-Feb-07	P	08:42:03	12	-	09:29:20	19	134	-	10:19:49	25	0.184	0.092	-
2093-Jul-23	A	05:01(r)	0(r)	05:51:35	05:53:41	08	071	05:55:47	07:01:36	20	0.936	0.877	4m11s
2094-Dec-07	P	14:36:37	16	-	15:48:08	07	230	-	16:37(s)	0(s)	0.514	0.403	-
2099-Sep-14	P	09:50:07	39	-	11:02:01	47	154	-	12:15:50	50	0.914	0.905	-
2100-Mar-10	P	18:12:21	00	-	18:13(s)	0(s)	265	-	18:13(s)	0(s)	0.01(s)	0.001(s)	-
2104-Dec-17	P	07:44(r)	0(r)	-	07:44(r)	0(r)	122	-	08:47:47	09	0.532(r)	0.417(r)	-
2106-May-03	P	12:38:02	62	-	13:59:51	54	228	-	15:16:52	42	0.884	0.864	-
2109-Mar-01	P	12:32:47	40	-	13:13:44	39	195	-	13:54:08	36	0.086	0.029	-
2111-Aug-04	P	12:52:13	64	-	14:31:48	52	237	-	15:59:59	37	0.901	0.851	-
2121-Jul-14	P	09:26:05	48	-	10:57:15	62	134	-	12:33:00	69	0.838	0.787	-
2131-Dec-19	P	10:08:55	18	-	11:27:45	23	169	-	12:51:43	23	0.338	0.218	-
2132-Jun-13	P	10:44:39	63	-	11:38:43	69	156	-	12:34:07	70	0.307	0.198	-
2133-Jun-03	P	04:42(r)	0(r)	-	04:42(r)	0(r)	058	-	04:42:29	00	0.006(r)	0.001(r)	-
2137-Mar-21	P	13:38:45	44	-	14:07:23	42	216	-	14:35:47	38	0.057	0.016	-
2138-Aug-05	P	15:55:09	38	-	16:59:05	26	269	-	17:57:34	16	0.469	0.351	-
2144-Oct-26	T	10:50:57	32	12:08:07	12:10:05	34	183	12:12:03	13:29:41	31	1.051	1.000	3m55s
2146-Mar-12	P	09:38:33	31	-	10:49:35	39	149	-	12:04:13	44	0.47	0.357	-
2151-Jun-14	P	11:02:17	65	-	12:07:54	70	174	-	13:14:49	67	0.4	0.289	-
2153-Oct-17	P	10:02:01	31	-	11:13:33	37	165	-	12:27:49	37	0.818	0.781	-
2154-Apr-12	P	16:09:47	29	-	17:26:29	15	268	-	18:35:24	03	0.863	0.803	-
2159-Jan-19	P	07:44(r)	0(r)	-	08:36:39	08	127	-	10:06:46	19	0.835	0.764	-
2160-Jun-04	P	10:32:11	61	-	11:40:49	69	159	-	12:51:13	68	0.418	0.307	-
2165-Sep-05	P	06:57:48	12	-	08:11:54	26	106	-	09:35:43	40	0.684	0.59	-
2169-Jun-24	P	19:51:42	00	-	19:55(s)	0(s)	303	-	19:55(s)	0(s)	0.064(s)	0.02(s)	-
2175-Aug-16	P	05:26(r)	0(r)	-	06:13:00	08	079	-	07:18:22	20	0.705	0.624	-
2176-Feb-10	P	12:29:30	33	-	13:20:22	32	195	-	14:09:10	28	0.184	0.092	-
2178-Jun-15	P	19:26:34	04	-	19:52(s)	0(s)	303	-	19:52(s)	0(s)	0.521(s)	0.417(s)	-
2184-Sep-04	P	17:58:47	07	-	18:40(s)	0(s)	279	-	18:40(s)	0(s)	0.64(s)	0.542(s)	-
2185-Jan-31	P	07:33(r)	0(r)	-	08:20:13	07	122	-	09:22:42	16	0.373	0.254	-
2186-Jan-20	P	11:06:22	25	-	12:36:10	27	183	-	14:03:18	23	0.396	0.273	-
2188-Nov-18	P	11:41:42	27	-	12:35:26	27	189	-	13:29:05	24	0.273	0.165	-
2191-Apr-23	P	11:43:41	59	-	12:43:09	59	194	-	13:43:23	54	0.274	0.165	-
2193-Aug-26	P	14:07:05	49	-	15:20:28	38	244	-	16:28:06	27	0.562	0.457	-
2197-Jun-15	P	11:43:34	69	-	13:04:23	68	211	-	14:21:46	58	0.47	0.356	-
2198-Nov-28	P	13:35:35	22	-	14:50:44	15	220	-	15:59:28	06	0.796	0.751	-
2200-Apr-14	P	09:07:07	37	-	10:24:20	49	136	-	11:47:43	56	0.917	0.899	-
2205-Jul-17	P	07:59:25	32	-	09:08:35	44	103	-	10:24:59	57	0.972	0.974	-
2207-Nov-20	P	12:04:58	28	-	13:13:05	25	199	-	14:20:00	20	0.454	0.344	-
2208-May-15	P	12:15:17	66	-	13:34:00	61	222	-	14:50:12	49	0.425	0.307	-
2212-Aug-27	P	06:35:37	10	-	07:10:51	17	092	-	07:47:40	23	0.188	0.096	-
2213-Feb-21	P	07:39:16	05	-	09:00:50	19	125	-	10:31:30	30	0.902	0.838	-
2218-Apr-25	P	19:01:09	01	-	19:05(s)	0(s)	289	-	19:05(s)	0(s)	0.086(s)	0.03(s)	-
2220-Sep-27	P	06:11(r)	0(r)	-	06:45:39	06	098	-	07:39:37	16	0.335	0.218	-
2223-Jul-28	P	17:53:11	18	-	18:32:06	11	286	-	19:09:11	05	0.279	0.171	-
2230-Mar-15	P	12:53:35	45	-	14:07:09	39	214	-	15:16:51	31	0.509	0.398	-
2232-Jul-18	P	16:59:34	29	-	17:55:23	19	281	-	18:47:20	10	0.659	0.579	-
2238-Oct-08	P	15:28:23	23	-	16:44:30	10	252	-	17:42(s)	0(s)	0.76	0.685	-
2239-Mar-06	P	08:12:15	15	-	09:06:34	24	124	-	10:04:59	32	0.278	0.166	-
2240-Feb-23	P	10:55:57	33	-	12:36:41	37	183	-	14:14:25	32	0.667	0.567	-
2242-Dec-22	P	15:04:21	13	-	15:45:23	08	228	-	16:24:26	02	0.187	0.095	-
2245-May-26	P	08:48:17	42	-	10:00:55	55	118	-	11:20:43	66	0.808	0.762	-
2247-Sep-29	P	10:52:36	42	-	12:19:00	45	185	-	13:45:07	39	0.885	0.848	-
2251-Jul-19	P	06:25:05	14	-	07:34:47	27	086	-	08:53:23	41	0.945	0.916	-
2254-May-17	P	07:32:44	28	-	08:35:40	39	100	-	09:45:03	51	0.692	0.62	-
2259-Aug-19	P	05:49:12	03	-	06:41:47	13	084	-	07:38:37	23	0.591	0.498	-
2260-Aug-07	P	18:48:57	06	-	19:25(s)	0(s)	292	-	19:25(s)	0(s)	0.541(s)	0.433(s)	-
2261-Dec-22	P	15:26:44	10	-	16:32:38	01	236	-	16:40(s)	0(s)	0.696	0.622	-
2263-Jun-06	P	18:22:07	14	-	19:18:38	04	297	-	19:47(s)	0(s)	0.988	0.988	-
2264-Oct-20	P	17:00:14	03	-	17:02:02	03	252	-	17:04:07	03	0	0	-
2266-Sep-29	P	06:13(r)	0(r)	-	06:13(r)	0(r)	093	-	07:01:46	08	0.521(r)	0.417(r)	-
2267-Mar-26	P	06:39:47	05	-	07:51:58	18	104	-	09:12:04	32	0.913	0.85	-
2269-Jul-29	P	15:35:50	43	-	16:34:46	32	266	-	17:29:08	22	0.369	0.252	-
2272-May-27	P	17:32:22	22	-	18:25:56	12	288	-	19:15:45	04	0.611	0.522	-
2275-Oct-19	P	17:18:47	01	-	17:23(s)	0(s)	256	-	17:23(s)	0(s)	0.034(s)	0.007(s)	-
2279-Jan-13	P	07:47(r)	0(r)	-	07:47(r)	0(r)	120	-	07:50:20	00	0.008(r)	0.001(r)	-
2284-Apr-16	P	11:48:34	57	-	12:56:56	56	199	-	14:04:34	50	0.369	0.252	-
2286-Aug-20	P	14:41:45	47	-	15:10:30	42	243	-	15:38:23	37	0.082	0.028	-
2289-Jan-22	P	08:43:07	09	-	09:51:05	18	142	-	11:03:41	25	0.609	0.52	-
2291-May-28	P	17:14:49	25	-	17:47:14	19	282	-	18:18:21	14	0.178	0.089	-
2292-Nov-09	P	14:50:49	18	-	16:07:14	07	238	-	16:54(s)	0(s)	0.599	0.495	-
2294-Mar-27	P	09:05:03	31	-	10:38:31	44	143	-	12:20:37	50	0.909	0.846	-
2296-Aug-29	P	06:14:46	06	-	06:51:40	12	089	-	07:30:44	20	0.162	0.076	-
2298-Jan-13	P	07:46(r)	0(r)	-	07:58:26	02	121	-	09:05:06	11	0.752	0.691	-
2299-Jun-28	P	06:11:11	14	-	07:04:57	24	080	-	08:03:19	34	0.607	0.517	-